"","All active cases"
"20/03","139"
"21/03","178"
"22/03","226"
"23/03","258"
"24/03","298"
"25/03","338"
"26/03","368"
"27/03","399"
"28/03","491"
"29/03","572"
"30/03","569"
"31/03","622"
"01/04","621"
"02/04","608"
"03/04","602"
"04/04","580"
"05/04","554"
"06/04","528"
"07/04","494"
"08/04","464"
"09/04","410"
"10/04","302"
"11/04","265"
"12/04","239"
"13/04","192"
"14/04","159"
"15/04","148"
"16/04","134"
"17/04","129"
"18/04","133"
"19/04","125"
"20/04","118"
"21/04","119"
"22/04","78"
"23/04","70"
"24/04","73"
"25/04","68"
"26/04","67"
"27/04","52"
"28/04","55"
"29/04","49"
"30/04","52"
"01/05","53"
"02/05","53"
"03/05","66"
"04/05","78"
"05/05","94"
"06/05","101"
"07/05","115"
"08/05","119"
"09/05","125"
"10/05","125"
"11/05","118"
"12/05","115"
"13/05","111"
"14/05","120"
"15/05","118"
"16/05","119"
"17/05","126"
"18/05","110"
"19/05","101"
"20/05","97"
"21/05","90"
"22/05","93"
"23/05","96"
"24/05","84"
"25/05","64"
"26/05","56"
"27/05","64"
"28/05","61"
"29/05","64"
"30/05","60"
"31/05","71"
"01/06","72"
"02/06","79"
"03/06","80"
"04/06","73"
"05/06","74"
"06/06","71"
"07/06","71"
"08/06","71"
"09/06","64"
"10/06","54"
"11/06","57"
"12/06","50"
"13/06","49"
"14/06","42"
"15/06","50"
"16/06","56"
"17/06","70"
"18/06","88"
"19/06","91"
"20/06","110"
"21/06","121"
"22/06","125"
"23/06","131"
"24/06/20","141"
"25/06/20","163"
"26/06/20","183"
"27/06/20","204"
"28/06/20","231"
"29/06/20","288"
"30/06/20","321"
"01/07/20","370"
"02/07/20","415"
"03/07/20","442"
"04/07/20","509"
"05/07/20","543"
"06/07/20","645"
"07/07/20","772"
"08/07/20","860"
"09/07/20","932"
"10/07/20","1154"
"11/07/20","1249"
"12/07/20","1484"
"13/07/20","1612"
"14/07/20","1803"
"15/07/20","1931"
"16/07/20","2128"
"17/07/20","2462"
"18/07/20","2607"
"19/07/20","2837"
"20/07/20","2913"
"21/07/20","3147"
"22/07/20","3408"
"23/07/20","3630"
"24/07/20","3733"
"25/07/20","3995"
"26/07/20","4233"
"27/07/20","4542"
"28/07/20","4775"
"29/07/20","4839"
"30/07/20","5385"
"31/07/20","5743"
"01/08/20","5919"
"02/08/20","6322"
"03/08/20","6476"
"04/08/20","6706"
"05/08/20","7227"
"06/08/20","7449"
"07/08/20","7637"
"08/08/20","7808"
"09/08/20","7855"
"10/08/20","7870"
"11/08/20","7880"
"12/08/20","7877"
"13/08/20","7866"
"14/08/20","7877"
"15/08/20","7875"
"16/08/20","7671"
"17/08/20","7474"
"18/08/20","7274"
"19/08/20","7155"
"20/08/20","4864"
"21/08/20","4421"
"22/08/20","4293"
"23/08/20","4042"
"24/08/20","3731"
"25/08/20","3651"
"26/08/20","3488"
"27/08/20","3309"
"28/08/20","3142"
"29/08/20","2983"
"30/08/20","2830"
"31/08/20","2612"
"01/09/20","2519"
"02/09/20","2415"
"03/09/20","2295"
"04/09/20","2060"
"05/09/20","1956"
"06/09/20","1872"
"07/09/20","1781"
"08/09/20","1696"
"09/09/20","1622"
"10/09/20","1483"
"11/09/20","1336"
"12/09/20","1251"
"13/09/20","1158"
